dataset,dataset_label,condition,perturbation_type,x_value,accuracy_drop_percent,energy_change_percent,num_seeds
cifar10dvs,CIFAR10-DVS,ADC 6-bit,adc_bits,6.0,1.4000000000000057,0.15584742192316092,3
dvsgesture,DVS Gesture,ADC 6-bit,adc_bits,6.0,-1.7361111111111,1.918316415547383,3
cifar10dvs,CIFAR10-DVS,MRR 3%,mrr,3.0,1.2999999999999972,-0.030725061125314035,3
dvsgesture,DVS Gesture,MRR 3%,mrr,3.0,1.3888888888888904,0.44826318601276505,3
cifar10dvs,CIFAR10-DVS,Laser 3%,laser,3.0,0.06666666666667236,-0.03324077229682754,3
dvsgesture,DVS Gesture,Laser 3%,laser,3.0,0.34722222222222854,0.14608233519634398,3
cifar10dvs,CIFAR10-DVS,WDM -20 dB,wdm,-20.0,2.299999999999997,-1.349345457879225,3
dvsgesture,DVS Gesture,WDM -20 dB,wdm,-20.0,-1.0416666666666572,-1.8331125149939733,3
cifar10dvs,CIFAR10-DVS,TIA 2%,tia,2.0,0.1666666666666714,0.6058557493235991,3
dvsgesture,DVS Gesture,TIA 2%,tia,2.0,0.46296296296296663,1.1142661381299268,3
cifar10dvs,CIFAR10-DVS,Combined,combined,0.0,1.8666666666666696,-0.32209522204977487,3
dvsgesture,DVS Gesture,Combined,combined,0.0,0.5787037037037047,1.4717585679222915,3
