dataset,dataset_label,metric,value_percent,platform,latency_ms_per_image,energy_mJ_per_image
cifar10dvs,CIFAR10-DVS,Input,34.669923095703126,,,
cifar10dvs,CIFAR10-DVS,MVM input,12.650999938998886,,,
cifar10dvs,CIFAR10-DVS,Active SOP,9.773359731887258,,,
cifar10dvs,CIFAR10-DVS,LIF spike,6.367307865724669,,,
cifar10dvs,CIFAR10-DVS,ADC request,76.91186361771805,,,
dvsgesture,DVS Gesture,Input,23.786487579345703,,,
dvsgesture,DVS Gesture,MVM input,10.474893746950888,,,
dvsgesture,DVS Gesture,Active SOP,8.632714362846288,,,
dvsgesture,DVS Gesture,LIF spike,4.212170484995696,,,
dvsgesture,DVS Gesture,ADC request,65.29718925049121,,,
cifar10dvs,CIFAR10-DVS,,,CPU,57.94939284210829,4262.177843537064
cifar10dvs,CIFAR10-DVS,,,GPU,29.565160526314063,2069.265585236721
cifar10dvs,CIFAR10-DVS,,,HIPSA,0.0802295100390625,0.17938208667693104
dvsgesture,DVS Gesture,,,CPU,41.96190630252678,3028.390777853357
dvsgesture,DVS Gesture,,,GPU,25.62932815124846,1485.219566364848
dvsgesture,DVS Gesture,,,HIPSA,0.03605884789360894,0.08668927249678832
