dataset,dataset_label,power_group,power_w,share_percent
cifar10dvs,CIFAR10-DVS,Laser,1.473,65.88064085818054
cifar10dvs,CIFAR10-DVS,Modulation,0.07286975964863358,3.2591354140078517
cifar10dvs,CIFAR10-DVS,O/E frontend,0.5024361131993758,22.471699340032735
cifar10dvs,CIFAR10-DVS,Memory/digital,0.0975558018598715,4.363230648989828
cifar10dvs,CIFAR10-DVS,Other static,0.09,4.025293738789035
dvsgesture,DVS Gesture,Laser,1.473,61.270191129189335
dvsgesture,DVS Gesture,Modulation,0.06033538798243712,2.5096814348524883
dvsgesture,DVS Gesture,O/E frontend,0.6270450392049497,26.082260284247987
dvsgesture,DVS Gesture,Memory/digital,0.15372501601933036,6.394270952370714
dvsgesture,DVS Gesture,Other static,0.09,3.74359619933947
