epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,is_best,early_best_val,epochs_without_improve
1,0.0002,3.3725524559020994,16.05,2.1372638969421387,23.8,23.8,1,1,23.8,0
2,0.0004,2.9445732517242433,29.1625,1.8355690956115722,34.8,34.8,2,1,34.8,0
3,0.0006,2.738238561630249,36.35,1.883507495880127,32.3,34.8,2,0,34.8,1
4,0.0008,2.6796182079315187,37.8625,1.7464836139678954,37.0,37.0,4,1,37.0,0
5,0.001,2.590398241043091,41.3375,1.6359171047210694,44.6,44.6,5,1,44.6,0
6,0.001,2.4707189083099363,46.55,1.600674952507019,47.3,47.3,6,1,47.3,0
7,0.0009998153062246457,2.365922999382019,50.3375,1.5205261754989623,49.0,49.0,7,1,49.0,0
8,0.000999261362724,2.262040863037109,53.3875,1.4461029415130615,53.6,53.6,8,1,53.6,0
9,0.0009983385828714621,2.2044618816375734,55.5375,1.4170232810974122,55.2,55.2,9,1,55.2,0
10,0.0009970476552799408,2.1455460109710693,57.0375,1.4451636028289796,53.9,55.2,9,0,55.2,1
11,0.0009953895432879838,2.0869077110290526,59.0375,1.3158345012664794,59.9,59.9,11,1,59.9,0
12,0.000993365484240899,2.0604928941726683,59.95,1.319681227684021,58.4,59.9,11,0,59.9,1
13,0.0009909769885674015,2.0054960098266603,61.425,1.3190832443237304,59.8,59.9,11,0,59.9,2
